,Active Learning Iteration,Metric,Value,Run,Set,Model,Label
94,23,Recall,0.7876923076923077,0,test,Generative,AL
95,23,Accuracy,0.7698056801195815,0,test,Generative,AL
96,24,MCC,0.5404832718557875,0,test,Generative,AL
97,24,Precision,0.750733137829912,0,test,Generative,AL
98,24,Recall,0.7876923076923077,0,test,Generative,AL
99,24,Accuracy,0.7698056801195815,0,test,Generative,AL
100,25,MCC,0.5404832718557875,0,test,Generative,AL
101,25,Precision,0.750733137829912,0,test,Generative,AL
102,25,Recall,0.7876923076923077,0,test,Generative,AL
103,25,Accuracy,0.7698056801195815,0,test,Generative,AL
104,26,MCC,0.5404832718557875,0,test,Generative,AL
105,26,Precision,0.750733137829912,0,test,Generative,AL
106,26,Recall,0.7876923076923077,0,test,Generative,AL
107,26,Accuracy,0.7698056801195815,0,test,Generative,AL
108,27,MCC,0.5404832718557875,0,test,Generative,AL
109,27,Precision,0.750733137829912,0,test,Generative,AL
110,27,Recall,0.7876923076923077,0,test,Generative,AL
111,27,Accuracy,0.7698056801195815,0,test,Generative,AL
112,28,MCC,0.5404832718557875,0,test,Generative,AL
113,28,Precision,0.750733137829912,0,test,Generative,AL
114,28,Recall,0.7876923076923077,0,test,Generative,AL
115,28,Accuracy,0.7698056801195815,0,test,Generative,AL
116,29,MCC,0.5404832718557875,0,test,Generative,AL
117,29,Precision,0.750733137829912,0,test,Generative,AL
118,29,Recall,0.7876923076923077,0,test,Generative,AL
119,29,Accuracy,0.7698056801195815,0,test,Generative,AL
120,30,MCC,0.5404832718557875,0,test,Generative,AL
121,30,Precision,0.750733137829912,0,test,Generative,AL
122,30,Recall,0.7876923076923077,0,test,Generative,AL
123,30,Accuracy,0.7698056801195815,0,test,Generative,AL
124,31,MCC,0.5404832718557875,0,test,Generative,AL
125,31,Precision,0.750733137829912,0,test,Generative,AL
126,31,Recall,0.7876923076923077,0,test,Generative,AL
127,31,Accuracy,0.7698056801195815,0,test,Generative,AL
128,32,MCC,0.5404832718557875,0,test,Generative,AL
129,32,Precision,0.750733137829912,0,test,Generative,AL
130,32,Recall,0.7876923076923077,0,test,Generative,AL
131,32,Accuracy,0.7698056801195815,0,test,Generative,AL
132,33,MCC,0.5404832718557875,0,test,Generative,AL
133,33,Precision,0.750733137829912,0,test,Generative,AL
134,33,Recall,0.7876923076923077,0,test,Generative,AL
135,33,Accuracy,0.7698056801195815,0,test,Generative,AL
136,34,MCC,0.5404832718557875,0,test,Generative,AL
137,34,Precision,0.750733137829912,0,test,Generative,AL
138,34,Recall,0.7876923076923077,0,test,Generative,AL
139,34,Accuracy,0.7698056801195815,0,test,Generative,AL
140,35,MCC,0.5404832718557875,0,test,Generative,AL
141,35,Precision,0.750733137829912,0,test,Generative,AL
142,35,Recall,0.7876923076923077,0,test,Generative,AL
143,35,Accuracy,0.7698056801195815,0,test,Generative,AL
144,36,MCC,0.5404832718557875,0,test,Generative,AL
145,36,Precision,0.750733137829912,0,test,Generative,AL
146,36,Recall,0.7876923076923077,0,test,Generative,AL
147,36,Accuracy,0.7698056801195815,0,test,Generative,AL
148,37,MCC,0.5404832718557875,0,test,Generative,AL
149,37,Precision,0.750733137829912,0,test,Generative,AL
150,37,Recall,0.7876923076923077,0,test,Generative,AL
151,37,Accuracy,0.7698056801195815,0,test,Generative,AL
152,38,MCC,0.5404832718557875,0,test,Generative,AL
153,38,Precision,0.750733137829912,0,test,Generative,AL
154,38,Recall,0.7876923076923077,0,test,Generative,AL
155,38,Accuracy,0.7698056801195815,0,test,Generative,AL
156,39,MCC,0.5404832718557875,0,test,Generative,AL
157,39,Precision,0.750733137829912,0,test,Generative,AL
158,39,Recall,0.7876923076923077,0,test,Generative,AL
159,39,Accuracy,0.7698056801195815,0,test,Generative,AL
160,40,MCC,0.5404832718557875,0,test,Generative,AL
161,40,Precision,0.750733137829912,0,test,Generative,AL
162,40,Recall,0.7876923076923077,0,test,Generative,AL
163,40,Accuracy,0.7698056801195815,0,test,Generative,AL
164,41,MCC,0.5404832718557875,0,test,Generative,AL
165,41,Precision,0.750733137829912,0,test,Generative,AL
166,41,Recall,0.7876923076923077,0,test,Generative,AL
167,41,Accuracy,0.7698056801195815,0,test,Generative,AL
168,42,MCC,0.5404832718557875,0,test,Generative,AL
169,42,Precision,0.750733137829912,0,test,Generative,AL
170,42,Recall,0.7876923076923077,0,test,Generative,AL
171,42,Accuracy,0.7698056801195815,0,test,Generative,AL
172,43,MCC,0.5404832718557875,0,test,Generative,AL
173,43,Precision,0.750733137829912,0,test,Generative,AL
174,43,Recall,0.7876923076923077,0,test,Generative,AL
175,43,Accuracy,0.7698056801195815,0,test,Generative,AL
176,44,MCC,0.5404832718557875,0,test,Generative,AL
