True from Junction Tree,"True from P(Y, lambda)",P_lambda,Dataset size
0.8631585836410522,0.8401638865470886,0.3050000071525574,N=800
0.9095050692558289,1.0,0.07750000059604645,N=800
1.0,1.0,0.023749999701976776,N=800
0.007755226921290159,0.007522684521973133,tensor(0.0969),N=1000000
0.23914241790771484,0.23892241716384888,tensor(0.5179),N=1000000
0.8954437971115112,0.8970282077789307,tensor(0.0861),N=1000000
0.9516788721084595,0.9709401726722717,tensor(0.0012),N=1000000
0.9984716176986694,0.9990913271903992,tensor(0.1838),N=1000000
1.0,0.9999474287033081,tensor(0.1141),N=1000000
0.00013079153723083436,0.0001762835745466873,tensor(0.0567),N=1000000
0.0003974566061515361,0.0002971583744511008,tensor(0.0471),N=1000000
0.013295471668243408,0.013301596976816654,tensor(0.3476),N=1000000
0.10626077651977539,0.10591399669647217,tensor(0.0074),N=1000000
0.25722235441207886,0.2578316330909729,tensor(0.0078),N=1000000
0.923032820224762,0.923028826713562,tensor(0.5334),N=1000000
0.0,7.213592390087342e-09,tensor(0.0314),N=1000000
0.015611913055181503,0.015611914917826653,tensor(0.0633),N=1000000
0.2372359037399292,0.23723594844341278,tensor(0.4125),N=1000000
0.8382211923599243,0.8382211923599243,tensor(0.4788),N=1000000
0.030462510883808136,0.030916033312678337,tensor(0.3358),N=1000000
0.1097109243273735,0.10969780385494232,tensor(0.0404),N=1000000
0.4543481469154358,0.45374730229377747,tensor(0.2526),N=1000000
0.9884946942329407,0.9833507537841797,tensor(0.0296),N=1000000
0.995406985282898,0.9954484701156616,tensor(0.0127),N=1000000
0.9989176988601685,0.9993794560432434,tensor(0.3288),N=1000000
0.004611873533576727,0.004723043646663427,tensor(0.0701),N=1000000
0.18922170996665955,0.18983370065689087,tensor(0.5185),N=1000000
0.876545250415802,0.8720237612724304,tensor(0.0719),N=1000000
0.9480315446853638,0.9371508359909058,tensor(0.0007),N=1000000
0.9974896907806396,0.9999397397041321,tensor(0.1327),N=1000000
0.9998801946640015,0.9983404278755188,tensor(0.2061),N=1000000
0.07953189313411713,0.07946481555700302,tensor(0.5125),N=1000000
0.5255372524261475,0.5256446599960327,tensor(0.0424),N=1000000
0.8294483423233032,0.8302025198936462,tensor(0.0396),N=1000000
0.9911801218986511,0.9913784861564636,tensor(0.1733),N=1000000
0.9993041157722473,0.9992555379867554,tensor(0.0940),N=1000000
1.0,0.9998987913131714,tensor(0.1382),N=1000000
9.034269896801561e-05,0.00010904578812187538,tensor(0.1009),N=1000000
0.0002442366676405072,0.0002988058258779347,tensor(0.0301),N=1000000
0.004861918743699789,0.004848616663366556,tensor(0.2638),N=1000000
0.11340292543172836,0.11334198713302612,tensor(0.0309),N=1000000
0.25708699226379395,0.2569374740123749,tensor(0.0110),N=1000000
0.8744857907295227,0.8744920492172241,tensor(0.5633),N=1000000
0.21958011388778687,0.21948182582855225,tensor(0.6188),N=1000000
0.8659774661064148,0.867229163646698,tensor(0.1233),N=1000000
0.9872094392776489,0.9832435250282288,tensor(0.0236),N=1000000
0.9954627156257629,1.0,tensor(0.0206),N=1000000
0.9990004897117615,0.9995077848434448,tensor(0.1199),N=1000000
1.0,0.9999786615371704,tensor(0.0939),N=1000000
0.03961360082030296,0.039819009602069855,tensor(0.2068),N=1000000
0.5466920733451843,0.5464425683021545,tensor(0.6621),N=1000000
0.9840791821479797,0.9868165850639343,tensor(0.0448),N=1000000
0.9977997541427612,0.9999867081642151,tensor(0.0755),N=1000000
1.0,1.0,tensor(0.0091),N=1000000
1.0,1.0,tensor(0.0017),N=1000000
0.01914079673588276,0.019346071407198906,tensor(0.1239),N=1000000
0.08773943781852722,0.08823475241661072,tensor(0.1558),N=1000000
0.6100493669509888,0.6098801493644714,tensor(0.6064),N=1000000
0.9990420341491699,0.9999816417694092,tensor(0.1092),N=1000000
1.0,0.9992420673370361,tensor(0.0040),N=1000000
1.0,0.9970414042472839,tensor(0.0007),N=1000000
