Number of points acquired,Run,Entropy,Strategy
5,8,1.0114042647073518,Relative Entropy
5,9,1.0114042647073518,Relative Entropy
6,0,1.2770342594661392,Relative Entropy
6,1,1.2770342594661392,Relative Entropy
6,2,1.475076311054695,Relative Entropy
6,3,0.796311640173813,Relative Entropy
6,4,1.2770342594661392,Relative Entropy
6,5,0.796311640173813,Relative Entropy
6,6,0.796311640173813,Relative Entropy
6,7,1.2770342594661392,Relative Entropy
6,8,0.9556998911125343,Relative Entropy
6,9,0.9556998911125343,Relative Entropy
7,0,1.2130075659799042,Relative Entropy
7,1,1.2130075659799042,Relative Entropy
7,2,1.4941751382893085,Relative Entropy
7,3,0.7356219397587946,Relative Entropy
7,4,1.2130075659799042,Relative Entropy
7,5,0.9002560512685369,Relative Entropy
7,6,0.9002560512685369,Relative Entropy
7,7,1.2130075659799042,Relative Entropy
7,8,0.9002560512685369,Relative Entropy
7,9,0.9002560512685369,Relative Entropy
8,0,1.2730283365896258,Relative Entropy
8,1,1.2730283365896258,Relative Entropy
8,2,1.464816384890813,Relative Entropy
8,3,0.6837389058487535,Relative Entropy
8,4,1.4270610433807247,Relative Entropy
8,5,0.8486855577264172,Relative Entropy
8,6,0.8486855577264172,Relative Entropy
8,7,1.2730283365896258,Relative Entropy
8,8,0.9368883075390159,Relative Entropy
8,9,0.8486855577264172,Relative Entropy
9,0,1.2206072645530175,Relative Entropy
9,1,1.2206072645530175,Relative Entropy
9,2,1.5047882836811908,Relative Entropy
9,3,0.8018185525433373,Relative Entropy
9,4,1.4184836619456564,Relative Entropy
9,5,0.8979457248567797,Relative Entropy
9,6,0.8018185525433373,Relative Entropy
9,7,1.2206072645530175,Relative Entropy
9,8,0.9433483923290393,Relative Entropy
9,9,0.8018185525433373,Relative Entropy
10,0,1.1685184057430877,Relative Entropy
10,1,1.1685184057430877,Relative Entropy
10,2,1.4681399390162087,Relative Entropy
10,3,0.7595473914748635,Relative Entropy
10,4,1.4681399390162087,Relative Entropy
10,5,0.8599672810355049,Relative Entropy
10,6,0.7595473914748635,Relative Entropy
10,7,1.1685184057430877,Relative Entropy
10,8,0.9164648855394713,Relative Entropy
10,9,0.7595473914748635,Relative Entropy
11,0,1.1187433359857524,Relative Entropy
11,1,1.1187433359857524,Relative Entropy
11,2,1.4241299173467734,Relative Entropy
11,3,0.8675632284814612,Relative Entropy
11,4,1.5171063970610277,Relative Entropy
11,5,0.887694275799104,Relative Entropy
11,6,0.8239592165010823,Relative Entropy
11,7,1.1187433359857524,Relative Entropy
11,8,0.887694275799104,Relative Entropy
11,9,0.7214636866925115,Relative Entropy
