,Active Learning Iteration,Metric,Value,Run,Strategy
21,5,Precision,0.9685307676889157,1,Relative Entropy
22,5,Recall,0.973016512283528,1,Relative Entropy
23,5,Accuracy,0.9709,1,Relative Entropy
24,6,MCC,0.9398090429243109,1,Relative Entropy
25,6,Precision,0.9675285628382442,1,Relative Entropy
26,6,Recall,0.9720096657269433,1,Relative Entropy
27,6,Accuracy,0.9699,1,Relative Entropy
28,7,MCC,0.938609012275271,1,Relative Entropy
29,7,Precision,0.9669272399278412,1,Relative Entropy
30,7,Recall,0.9714055577929923,1,Relative Entropy
31,7,Accuracy,0.9693,1,Relative Entropy
32,8,MCC,0.9382109715562856,1,Relative Entropy
33,8,Precision,0.96653977158886,1,Relative Entropy
34,8,Recall,0.9714055577929923,1,Relative Entropy
35,8,Accuracy,0.9691,1,Relative Entropy
36,9,MCC,0.938213091165449,1,Relative Entropy
37,9,Precision,0.9663528940516724,1,Relative Entropy
38,9,Recall,0.9716069271043093,1,Relative Entropy
39,9,Accuracy,0.9691,1,Relative Entropy
40,10,MCC,0.9376119979563693,1,Relative Entropy
41,10,Precision,0.9661458333333334,1,Relative Entropy
42,10,Recall,0.9712041884816754,1,Relative Entropy
43,10,Accuracy,0.9688,1,Relative Entropy
44,11,MCC,0.937616537975361,1,Relative Entropy
45,11,Precision,0.9657726180944756,1,Relative Entropy
46,11,Recall,0.9716069271043093,1,Relative Entropy
47,11,Accuracy,0.9688,1,Relative Entropy
48,12,MCC,0.9372165285990374,1,Relative Entropy
49,12,Precision,0.9655724579663731,1,Relative Entropy
50,12,Recall,0.9714055577929923,1,Relative Entropy
51,12,Accuracy,0.9686,1,Relative Entropy
52,13,MCC,0.9372165285990374,1,Relative Entropy
53,13,Precision,0.9655724579663731,1,Relative Entropy
54,13,Recall,0.9714055577929923,1,Relative Entropy
55,13,Accuracy,0.9686,1,Relative Entropy
56,14,MCC,0.9390502586936551,1,Relative Entropy
57,14,Precision,0.9645206298584812,1,Relative Entropy
58,14,Recall,0.9744260974627467,1,Relative Entropy
59,14,Accuracy,0.9695,1,Relative Entropy
60,15,MCC,0.9444445779554727,1,Relative Entropy
61,15,Precision,0.967491025129637,1,Relative Entropy
62,15,Recall,0.9768425291985502,1,Relative Entropy
63,15,Accuracy,0.9722,1,Relative Entropy
64,16,MCC,0.9516145267290639,1,Relative Entropy
65,16,Precision,0.972967561073288,1,Relative Entropy
66,16,Recall,0.9784534836890858,1,Relative Entropy
67,16,Accuracy,0.9758,1,Relative Entropy
68,17,MCC,0.9516103046630935,1,Relative Entropy
69,17,Precision,0.9733466933867736,1,Relative Entropy
70,17,Recall,0.9780507450664518,1,Relative Entropy
71,17,Accuracy,0.9758,1,Relative Entropy
72,18,MCC,0.9524103247597767,1,Relative Entropy
73,18,Precision,0.9737474949899799,1,Relative Entropy
74,18,Recall,0.9784534836890858,1,Relative Entropy
75,18,Accuracy,0.9762,1,Relative Entropy
76,19,MCC,0.9526113278244281,1,Relative Entropy
77,19,Precision,0.9737527549589261,1,Relative Entropy
78,19,Recall,0.9786548530004028,1,Relative Entropy
79,19,Accuracy,0.9763,1,Relative Entropy
80,20,MCC,0.9524123590887108,1,Relative Entropy
81,20,Precision,0.9735576923076923,1,Relative Entropy
82,20,Recall,0.9786548530004028,1,Relative Entropy
83,20,Accuracy,0.9762,1,Relative Entropy
84,21,MCC,0.9522134285770121,1,Relative Entropy
85,21,Precision,0.9733627077909073,1,Relative Entropy
86,21,Recall,0.9786548530004028,1,Relative Entropy
87,21,Accuracy,0.9761,1,Relative Entropy
88,22,MCC,0.9528067240694449,1,Relative Entropy
89,22,Precision,0.9743281187324508,1,Relative Entropy
90,22,Recall,0.9782521143777688,1,Relative Entropy
91,22,Accuracy,0.9764,1,Relative Entropy
92,23,MCC,0.9532051586681043,1,Relative Entropy
93,23,Precision,0.9747191011235955,1,Relative Entropy
94,23,Recall,0.9782521143777688,1,Relative Entropy
95,23,Accuracy,0.9766,1,Relative Entropy
96,24,MCC,0.9530075748864175,1,Relative Entropy
97,24,Precision,0.9743332664928815,1,Relative Entropy
98,24,Recall,0.9784534836890858,1,Relative Entropy
99,24,Accuracy,0.9765,1,Relative Entropy
100,25,MCC,0.9546207301783998,1,Relative Entropy
101,25,Precision,0.9739947989597919,1,Relative Entropy
102,25,Recall,0.9804671768022554,1,Relative Entropy
103,25,Accuracy,0.9773,1,Relative Entropy
104,26,MCC,0.9542207209220788,1,Relative Entropy
105,26,Precision,0.9737947589517904,1,Relative Entropy
106,26,Recall,0.9802658074909384,1,Relative Entropy
107,26,Accuracy,0.9771,1,Relative Entropy
108,27,MCC,0.9588104855332428,1,Relative Entropy
109,27,Precision,0.9769539078156313,1,Relative Entropy
110,27,Recall,0.981675392670157,1,Relative Entropy
111,27,Accuracy,0.9794,1,Relative Entropy
112,28,MCC,0.9596053394102454,1,Relative Entropy
113,28,Precision,0.9779293739967897,1,Relative Entropy
114,28,Recall,0.9814740233588402,1,Relative Entropy
115,28,Accuracy,0.9798,1,Relative Entropy
116,29,MCC,0.957806054769275,1,Relative Entropy
117,29,Precision,0.9769307923771314,1,Relative Entropy
118,29,Recall,0.9806685461135722,1,Relative Entropy
119,29,Accuracy,0.9789,1,Relative Entropy
120,30,MCC,0.9582135731819676,1,Relative Entropy
121,30,Precision,0.9763669136791508,1,Relative Entropy
122,30,Recall,0.981675392670157,1,Relative Entropy
