Active Learning Iteration,Metric,Value,Run,Set
24,Recall,0.4941860465116279,0,train
24,Accuracy,0.8614609571788413,0,train
25,MCC,0.5494141341426007,0,train
25,Precision,0.7870370370370371,0,train
25,Recall,0.4941860465116279,0,train
25,Accuracy,0.8614609571788413,0,train
26,MCC,0.5494141341426007,0,train
26,Precision,0.7870370370370371,0,train
26,Recall,0.4941860465116279,0,train
26,Accuracy,0.8614609571788413,0,train
27,MCC,0.5494141341426007,0,train
27,Precision,0.7870370370370371,0,train
27,Recall,0.4941860465116279,0,train
27,Accuracy,0.8614609571788413,0,train
28,MCC,0.5494141341426007,0,train
28,Precision,0.7870370370370371,0,train
28,Recall,0.4941860465116279,0,train
28,Accuracy,0.8614609571788413,0,train
29,MCC,0.5494141341426007,0,train
29,Precision,0.7870370370370371,0,train
29,Recall,0.4941860465116279,0,train
29,Accuracy,0.8614609571788413,0,train
30,MCC,0.5494141341426007,0,train
30,Precision,0.7870370370370371,0,train
30,Recall,0.4941860465116279,0,train
30,Accuracy,0.8614609571788413,0,train
0,MCC,0.12660513463509548,1,train
0,Precision,0.3033175355450237,1,train
0,Recall,0.37209302325581395,1,train
0,Accuracy,0.6788413098236776,1,train
1,MCC,0.5183822879152591,1,train
1,Precision,0.7857142857142857,1,train
1,Recall,0.4476744186046512,1,train
1,Accuracy,0.853904282115869,1,train
2,MCC,0.12660513463509548,1,train
2,Precision,0.3033175355450237,1,train
2,Recall,0.37209302325581395,1,train
2,Accuracy,0.6788413098236776,1,train
3,MCC,0.5494141341426007,1,train
3,Precision,0.7870370370370371,1,train
3,Recall,0.4941860465116279,1,train
3,Accuracy,0.8614609571788413,1,train
4,MCC,0.5494141341426007,1,train
4,Precision,0.7870370370370371,1,train
4,Recall,0.4941860465116279,1,train
4,Accuracy,0.8614609571788413,1,train
5,MCC,0.5494141341426007,1,train
5,Precision,0.7870370370370371,1,train
5,Recall,0.4941860465116279,1,train
5,Accuracy,0.8614609571788413,1,train
6,MCC,0.5494141341426007,1,train
6,Precision,0.7870370370370371,1,train
6,Recall,0.4941860465116279,1,train
6,Accuracy,0.8614609571788413,1,train
7,MCC,0.5494141341426007,1,train
7,Precision,0.7870370370370371,1,train
7,Recall,0.4941860465116279,1,train
7,Accuracy,0.8614609571788413,1,train
8,MCC,0.5494141341426007,1,train
8,Precision,0.7870370370370371,1,train
8,Recall,0.4941860465116279,1,train
8,Accuracy,0.8614609571788413,1,train
9,MCC,0.5494141341426007,1,train
9,Precision,0.7870370370370371,1,train
9,Recall,0.4941860465116279,1,train
