Number of labeled points,Metric,Accuracy,Run,Approach,Model,Dash
2,Accuracy,0.9761,1,Active WeaSuL,Discriminative,n
3,Accuracy,0.9655,1,Active WeaSuL,Discriminative,n
4,Accuracy,0.9607,1,Active WeaSuL,Discriminative,n
5,Accuracy,0.9612,1,Active WeaSuL,Discriminative,n
6,Accuracy,0.9654,1,Active WeaSuL,Discriminative,n
7,Accuracy,0.9635,1,Active WeaSuL,Discriminative,n
8,Accuracy,0.9736,1,Active WeaSuL,Discriminative,n
9,Accuracy,0.9769,1,Active WeaSuL,Discriminative,n
10,Accuracy,0.9776,1,Active WeaSuL,Discriminative,n
11,Accuracy,0.9769,1,Active WeaSuL,Discriminative,n
12,Accuracy,0.9746,1,Active WeaSuL,Discriminative,n
13,Accuracy,0.9768,1,Active WeaSuL,Discriminative,n
14,Accuracy,0.9771,1,Active WeaSuL,Discriminative,n
15,Accuracy,0.9777,1,Active WeaSuL,Discriminative,n
16,Accuracy,0.9777,1,Active WeaSuL,Discriminative,n
17,Accuracy,0.9776,1,Active WeaSuL,Discriminative,n
18,Accuracy,0.9779,1,Active WeaSuL,Discriminative,n
19,Accuracy,0.9772,1,Active WeaSuL,Discriminative,n
20,Accuracy,0.9775,1,Active WeaSuL,Discriminative,n
21,Accuracy,0.9773,1,Active WeaSuL,Discriminative,n
22,Accuracy,0.9779,1,Active WeaSuL,Discriminative,n
23,Accuracy,0.9777,1,Active WeaSuL,Discriminative,n
24,Accuracy,0.9777,1,Active WeaSuL,Discriminative,n
25,Accuracy,0.978,1,Active WeaSuL,Discriminative,n
26,Accuracy,0.9779,1,Active WeaSuL,Discriminative,n
27,Accuracy,0.9772,1,Active WeaSuL,Discriminative,n
28,Accuracy,0.9773,1,Active WeaSuL,Discriminative,n
29,Accuracy,0.9775,1,Active WeaSuL,Discriminative,n
30,Accuracy,0.9777,1,Active WeaSuL,Discriminative,n
0,Accuracy,0.8743,2,Active WeaSuL,Discriminative,n
1,Accuracy,0.9727,2,Active WeaSuL,Discriminative,n
2,Accuracy,0.9761,2,Active WeaSuL,Discriminative,n
3,Accuracy,0.9725,2,Active WeaSuL,Discriminative,n
4,Accuracy,0.9771,2,Active WeaSuL,Discriminative,n
5,Accuracy,0.9776,2,Active WeaSuL,Discriminative,n
6,Accuracy,0.9768,2,Active WeaSuL,Discriminative,n
7,Accuracy,0.9776,2,Active WeaSuL,Discriminative,n
8,Accuracy,0.9769,2,Active WeaSuL,Discriminative,n
9,Accuracy,0.977,2,Active WeaSuL,Discriminative,n
10,Accuracy,0.9774,2,Active WeaSuL,Discriminative,n
11,Accuracy,0.9767,2,Active WeaSuL,Discriminative,n
12,Accuracy,0.9769,2,Active WeaSuL,Discriminative,n
13,Accuracy,0.9767,2,Active WeaSuL,Discriminative,n
14,Accuracy,0.9768,2,Active WeaSuL,Discriminative,n
15,Accuracy,0.9768,2,Active WeaSuL,Discriminative,n
16,Accuracy,0.9767,2,Active WeaSuL,Discriminative,n
17,Accuracy,0.9768,2,Active WeaSuL,Discriminative,n
18,Accuracy,0.9768,2,Active WeaSuL,Discriminative,n
19,Accuracy,0.9771,2,Active WeaSuL,Discriminative,n
20,Accuracy,0.9768,2,Active WeaSuL,Discriminative,n
21,Accuracy,0.9768,2,Active WeaSuL,Discriminative,n
22,Accuracy,0.977,2,Active WeaSuL,Discriminative,n
23,Accuracy,0.9768,2,Active WeaSuL,Discriminative,n
24,Accuracy,0.9768,2,Active WeaSuL,Discriminative,n
25,Accuracy,0.976,2,Active WeaSuL,Discriminative,n
26,Accuracy,0.9768,2,Active WeaSuL,Discriminative,n
27,Accuracy,0.9761,2,Active WeaSuL,Discriminative,n
28,Accuracy,0.975,2,Active WeaSuL,Discriminative,n
29,Accuracy,0.9762,2,Active WeaSuL,Discriminative,n
30,Accuracy,0.9753,2,Active WeaSuL,Discriminative,n
0,Accuracy,0.8723,3,Active WeaSuL,Discriminative,n
1,Accuracy,0.9704,3,Active WeaSuL,Discriminative,n
2,Accuracy,0.9766,3,Active WeaSuL,Discriminative,n
3,Accuracy,0.9724,3,Active WeaSuL,Discriminative,n
4,Accuracy,0.9771,3,Active WeaSuL,Discriminative,n
5,Accuracy,0.9741,3,Active WeaSuL,Discriminative,n
6,Accuracy,0.9767,3,Active WeaSuL,Discriminative,n
7,Accuracy,0.9775,3,Active WeaSuL,Discriminative,n
8,Accuracy,0.9769,3,Active WeaSuL,Discriminative,n
9,Accuracy,0.9751,3,Active WeaSuL,Discriminative,n
10,Accuracy,0.9769,3,Active WeaSuL,Discriminative,n
11,Accuracy,0.9769,3,Active WeaSuL,Discriminative,n
12,Accuracy,0.9756,3,Active WeaSuL,Discriminative,n
13,Accuracy,0.9752,3,Active WeaSuL,Discriminative,n
14,Accuracy,0.9769,3,Active WeaSuL,Discriminative,n
15,Accuracy,0.9768,3,Active WeaSuL,Discriminative,n
16,Accuracy,0.9771,3,Active WeaSuL,Discriminative,n
17,Accuracy,0.977,3,Active WeaSuL,Discriminative,n
18,Accuracy,0.9772,3,Active WeaSuL,Discriminative,n
19,Accuracy,0.9773,3,Active WeaSuL,Discriminative,n
20,Accuracy,0.9775,3,Active WeaSuL,Discriminative,n
21,Accuracy,0.9779,3,Active WeaSuL,Discriminative,n
22,Accuracy,0.9779,3,Active WeaSuL,Discriminative,n
23,Accuracy,0.9774,3,Active WeaSuL,Discriminative,n
24,Accuracy,0.9777,3,Active WeaSuL,Discriminative,n
25,Accuracy,0.9773,3,Active WeaSuL,Discriminative,n
26,Accuracy,0.9778,3,Active WeaSuL,Discriminative,n
27,Accuracy,0.9771,3,Active WeaSuL,Discriminative,n
28,Accuracy,0.977,3,Active WeaSuL,Discriminative,n
29,Accuracy,0.9777,3,Active WeaSuL,Discriminative,n
30,Accuracy,0.9772,3,Active WeaSuL,Discriminative,n
0,Accuracy,0.88,4,Active WeaSuL,Discriminative,n
1,Accuracy,0.9465,4,Active WeaSuL,Discriminative,n
2,Accuracy,0.9755,4,Active WeaSuL,Discriminative,n
3,Accuracy,0.9728,4,Active WeaSuL,Discriminative,n
4,Accuracy,0.9721,4,Active WeaSuL,Discriminative,n
5,Accuracy,0.9719,4,Active WeaSuL,Discriminative,n
6,Accuracy,0.9767,4,Active WeaSuL,Discriminative,n
7,Accuracy,0.9755,4,Active WeaSuL,Discriminative,n
8,Accuracy,0.9754,4,Active WeaSuL,Discriminative,n
9,Accuracy,0.975,4,Active WeaSuL,Discriminative,n
10,Accuracy,0.9748,4,Active WeaSuL,Discriminative,n
11,Accuracy,0.977,4,Active WeaSuL,Discriminative,n
12,Accuracy,0.9779,4,Active WeaSuL,Discriminative,n
13,Accuracy,0.9778,4,Active WeaSuL,Discriminative,n
14,Accuracy,0.9772,4,Active WeaSuL,Discriminative,n
15,Accuracy,0.9772,4,Active WeaSuL,Discriminative,n
16,Accuracy,0.9774,4,Active WeaSuL,Discriminative,n
17,Accuracy,0.9765,4,Active WeaSuL,Discriminative,n
