Active Learning Iteration,Metric,Accuracy,Run,Strategy,Model
19,Accuracy,0.9637,7,Margin,Generative
20,Accuracy,0.9637,7,Margin,Generative
21,Accuracy,0.9637,7,Margin,Generative
22,Accuracy,0.9637,7,Margin,Generative
23,Accuracy,0.9637,7,Margin,Generative
24,Accuracy,0.9637,7,Margin,Generative
25,Accuracy,0.9637,7,Margin,Generative
26,Accuracy,0.9637,7,Margin,Generative
27,Accuracy,0.9637,7,Margin,Generative
28,Accuracy,0.9637,7,Margin,Generative
29,Accuracy,0.9637,7,Margin,Generative
30,Accuracy,0.9637,7,Margin,Generative
0,Accuracy,0.9015,8,Margin,Generative
1,Accuracy,0.9648,8,Margin,Generative
2,Accuracy,0.9637,8,Margin,Generative
3,Accuracy,0.9637,8,Margin,Generative
4,Accuracy,0.9637,8,Margin,Generative
5,Accuracy,0.9637,8,Margin,Generative
6,Accuracy,0.9648,8,Margin,Generative
7,Accuracy,0.9648,8,Margin,Generative
8,Accuracy,0.9648,8,Margin,Generative
9,Accuracy,0.9648,8,Margin,Generative
10,Accuracy,0.9648,8,Margin,Generative
11,Accuracy,0.9648,8,Margin,Generative
12,Accuracy,0.9648,8,Margin,Generative
13,Accuracy,0.9648,8,Margin,Generative
14,Accuracy,0.9648,8,Margin,Generative
15,Accuracy,0.9648,8,Margin,Generative
16,Accuracy,0.9648,8,Margin,Generative
17,Accuracy,0.9648,8,Margin,Generative
18,Accuracy,0.9648,8,Margin,Generative
19,Accuracy,0.9648,8,Margin,Generative
20,Accuracy,0.9648,8,Margin,Generative
21,Accuracy,0.9648,8,Margin,Generative
22,Accuracy,0.9648,8,Margin,Generative
23,Accuracy,0.9648,8,Margin,Generative
24,Accuracy,0.9648,8,Margin,Generative
25,Accuracy,0.9648,8,Margin,Generative
26,Accuracy,0.9648,8,Margin,Generative
27,Accuracy,0.9648,8,Margin,Generative
28,Accuracy,0.9648,8,Margin,Generative
29,Accuracy,0.9648,8,Margin,Generative
30,Accuracy,0.9648,8,Margin,Generative
0,Accuracy,0.9015,9,Margin,Generative
1,Accuracy,0.9637,9,Margin,Generative
2,Accuracy,0.9648,9,Margin,Generative
3,Accuracy,0.9648,9,Margin,Generative
4,Accuracy,0.9648,9,Margin,Generative
5,Accuracy,0.9648,9,Margin,Generative
6,Accuracy,0.9648,9,Margin,Generative
7,Accuracy,0.9648,9,Margin,Generative
8,Accuracy,0.9648,9,Margin,Generative
9,Accuracy,0.9648,9,Margin,Generative
10,Accuracy,0.9648,9,Margin,Generative
11,Accuracy,0.9648,9,Margin,Generative
12,Accuracy,0.9648,9,Margin,Generative
13,Accuracy,0.9648,9,Margin,Generative
14,Accuracy,0.9648,9,Margin,Generative
15,Accuracy,0.9648,9,Margin,Generative
16,Accuracy,0.9648,9,Margin,Generative
17,Accuracy,0.9648,9,Margin,Generative
18,Accuracy,0.9648,9,Margin,Generative
19,Accuracy,0.9648,9,Margin,Generative
20,Accuracy,0.9648,9,Margin,Generative
21,Accuracy,0.9648,9,Margin,Generative
22,Accuracy,0.9648,9,Margin,Generative
23,Accuracy,0.9648,9,Margin,Generative
24,Accuracy,0.9648,9,Margin,Generative
25,Accuracy,0.9648,9,Margin,Generative
26,Accuracy,0.9648,9,Margin,Generative
27,Accuracy,0.9648,9,Margin,Generative
28,Accuracy,0.9648,9,Margin,Generative
29,Accuracy,0.9648,9,Margin,Generative
30,Accuracy,0.9648,9,Margin,Generative
0,Accuracy,0.8906,0,Relative Entropy,Discriminative
1,Accuracy,0.9758,0,Relative Entropy,Discriminative
2,Accuracy,0.9753,0,Relative Entropy,Discriminative
3,Accuracy,0.9727,0,Relative Entropy,Discriminative
4,Accuracy,0.9771,0,Relative Entropy,Discriminative
5,Accuracy,0.9776,0,Relative Entropy,Discriminative
6,Accuracy,0.9766,0,Relative Entropy,Discriminative
7,Accuracy,0.9776,0,Relative Entropy,Discriminative
8,Accuracy,0.9766,0,Relative Entropy,Discriminative
9,Accuracy,0.9772,0,Relative Entropy,Discriminative
10,Accuracy,0.9768,0,Relative Entropy,Discriminative
11,Accuracy,0.9771,0,Relative Entropy,Discriminative
12,Accuracy,0.9771,0,Relative Entropy,Discriminative
13,Accuracy,0.9777,0,Relative Entropy,Discriminative
14,Accuracy,0.9778,0,Relative Entropy,Discriminative
15,Accuracy,0.9778,0,Relative Entropy,Discriminative
16,Accuracy,0.9775,0,Relative Entropy,Discriminative
17,Accuracy,0.9773,0,Relative Entropy,Discriminative
18,Accuracy,0.9771,0,Relative Entropy,Discriminative
19,Accuracy,0.977,0,Relative Entropy,Discriminative
20,Accuracy,0.9765,0,Relative Entropy,Discriminative
21,Accuracy,0.9776,0,Relative Entropy,Discriminative
22,Accuracy,0.9776,0,Relative Entropy,Discriminative
23,Accuracy,0.9777,0,Relative Entropy,Discriminative
24,Accuracy,0.9776,0,Relative Entropy,Discriminative
25,Accuracy,0.9775,0,Relative Entropy,Discriminative
26,Accuracy,0.9773,0,Relative Entropy,Discriminative
27,Accuracy,0.9778,0,Relative Entropy,Discriminative
28,Accuracy,0.9774,0,Relative Entropy,Discriminative
29,Accuracy,0.9781,0,Relative Entropy,Discriminative
30,Accuracy,0.9777,0,Relative Entropy,Discriminative
0,Accuracy,0.8876,1,Relative Entropy,Discriminative
1,Accuracy,0.9751,1,Relative Entropy,Discriminative
2,Accuracy,0.9761,1,Relative Entropy,Discriminative
3,Accuracy,0.9655,1,Relative Entropy,Discriminative
4,Accuracy,0.9607,1,Relative Entropy,Discriminative
5,Accuracy,0.9612,1,Relative Entropy,Discriminative
6,Accuracy,0.9654,1,Relative Entropy,Discriminative
7,Accuracy,0.9635,1,Relative Entropy,Discriminative
8,Accuracy,0.9736,1,Relative Entropy,Discriminative
9,Accuracy,0.9769,1,Relative Entropy,Discriminative
10,Accuracy,0.9776,1,Relative Entropy,Discriminative
11,Accuracy,0.9769,1,Relative Entropy,Discriminative
12,Accuracy,0.9746,1,Relative Entropy,Discriminative
13,Accuracy,0.9768,1,Relative Entropy,Discriminative
14,Accuracy,0.9771,1,Relative Entropy,Discriminative
15,Accuracy,0.9777,1,Relative Entropy,Discriminative
16,Accuracy,0.9777,1,Relative Entropy,Discriminative
17,Accuracy,0.9776,1,Relative Entropy,Discriminative
18,Accuracy,0.9779,1,Relative Entropy,Discriminative
19,Accuracy,0.9772,1,Relative Entropy,Discriminative
20,Accuracy,0.9775,1,Relative Entropy,Discriminative
21,Accuracy,0.9773,1,Relative Entropy,Discriminative
22,Accuracy,0.9779,1,Relative Entropy,Discriminative
23,Accuracy,0.9777,1,Relative Entropy,Discriminative
24,Accuracy,0.9777,1,Relative Entropy,Discriminative
25,Accuracy,0.978,1,Relative Entropy,Discriminative
26,Accuracy,0.9779,1,Relative Entropy,Discriminative
27,Accuracy,0.9772,1,Relative Entropy,Discriminative
28,Accuracy,0.9773,1,Relative Entropy,Discriminative
29,Accuracy,0.9775,1,Relative Entropy,Discriminative
30,Accuracy,0.9777,1,Relative Entropy,Discriminative
0,Accuracy,0.8743,2,Relative Entropy,Discriminative
1,Accuracy,0.9727,2,Relative Entropy,Discriminative
2,Accuracy,0.9761,2,Relative Entropy,Discriminative
3,Accuracy,0.9725,2,Relative Entropy,Discriminative
4,Accuracy,0.9771,2,Relative Entropy,Discriminative
5,Accuracy,0.9776,2,Relative Entropy,Discriminative
6,Accuracy,0.9768,2,Relative Entropy,Discriminative
7,Accuracy,0.9776,2,Relative Entropy,Discriminative
8,Accuracy,0.9769,2,Relative Entropy,Discriminative
9,Accuracy,0.977,2,Relative Entropy,Discriminative
10,Accuracy,0.9774,2,Relative Entropy,Discriminative
11,Accuracy,0.9767,2,Relative Entropy,Discriminative
12,Accuracy,0.9769,2,Relative Entropy,Discriminative
13,Accuracy,0.9767,2,Relative Entropy,Discriminative
14,Accuracy,0.9768,2,Relative Entropy,Discriminative
15,Accuracy,0.9768,2,Relative Entropy,Discriminative
16,Accuracy,0.9767,2,Relative Entropy,Discriminative
17,Accuracy,0.9768,2,Relative Entropy,Discriminative
18,Accuracy,0.9768,2,Relative Entropy,Discriminative
19,Accuracy,0.9771,2,Relative Entropy,Discriminative
20,Accuracy,0.9768,2,Relative Entropy,Discriminative
21,Accuracy,0.9768,2,Relative Entropy,Discriminative
22,Accuracy,0.977,2,Relative Entropy,Discriminative
23,Accuracy,0.9768,2,Relative Entropy,Discriminative
24,Accuracy,0.9768,2,Relative Entropy,Discriminative
25,Accuracy,0.976,2,Relative Entropy,Discriminative
26,Accuracy,0.9768,2,Relative Entropy,Discriminative
27,Accuracy,0.9761,2,Relative Entropy,Discriminative
28,Accuracy,0.975,2,Relative Entropy,Discriminative
29,Accuracy,0.9762,2,Relative Entropy,Discriminative
30,Accuracy,0.9753,2,Relative Entropy,Discriminative
0,Accuracy,0.8723,3,Relative Entropy,Discriminative
1,Accuracy,0.9704,3,Relative Entropy,Discriminative
2,Accuracy,0.9766,3,Relative Entropy,Discriminative
3,Accuracy,0.9724,3,Relative Entropy,Discriminative
4,Accuracy,0.9771,3,Relative Entropy,Discriminative
5,Accuracy,0.9741,3,Relative Entropy,Discriminative
6,Accuracy,0.9767,3,Relative Entropy,Discriminative
7,Accuracy,0.9775,3,Relative Entropy,Discriminative
8,Accuracy,0.9769,3,Relative Entropy,Discriminative
9,Accuracy,0.9751,3,Relative Entropy,Discriminative
10,Accuracy,0.9769,3,Relative Entropy,Discriminative
11,Accuracy,0.9769,3,Relative Entropy,Discriminative
12,Accuracy,0.9756,3,Relative Entropy,Discriminative
13,Accuracy,0.9752,3,Relative Entropy,Discriminative
14,Accuracy,0.9769,3,Relative Entropy,Discriminative
15,Accuracy,0.9768,3,Relative Entropy,Discriminative
16,Accuracy,0.9771,3,Relative Entropy,Discriminative
17,Accuracy,0.977,3,Relative Entropy,Discriminative
18,Accuracy,0.9772,3,Relative Entropy,Discriminative
19,Accuracy,0.9773,3,Relative Entropy,Discriminative
20,Accuracy,0.9775,3,Relative Entropy,Discriminative
21,Accuracy,0.9779,3,Relative Entropy,Discriminative
22,Accuracy,0.9779,3,Relative Entropy,Discriminative
23,Accuracy,0.9774,3,Relative Entropy,Discriminative
24,Accuracy,0.9777,3,Relative Entropy,Discriminative
25,Accuracy,0.9773,3,Relative Entropy,Discriminative
26,Accuracy,0.9778,3,Relative Entropy,Discriminative
27,Accuracy,0.9771,3,Relative Entropy,Discriminative
28,Accuracy,0.977,3,Relative Entropy,Discriminative
29,Accuracy,0.9777,3,Relative Entropy,Discriminative
30,Accuracy,0.9772,3,Relative Entropy,Discriminative
0,Accuracy,0.88,4,Relative Entropy,Discriminative
1,Accuracy,0.9465,4,Relative Entropy,Discriminative
2,Accuracy,0.9755,4,Relative Entropy,Discriminative
3,Accuracy,0.9728,4,Relative Entropy,Discriminative
4,Accuracy,0.9721,4,Relative Entropy,Discriminative
5,Accuracy,0.9719,4,Relative Entropy,Discriminative
6,Accuracy,0.9767,4,Relative Entropy,Discriminative
7,Accuracy,0.9755,4,Relative Entropy,Discriminative
8,Accuracy,0.9754,4,Relative Entropy,Discriminative
9,Accuracy,0.975,4,Relative Entropy,Discriminative
10,Accuracy,0.9748,4,Relative Entropy,Discriminative
11,Accuracy,0.977,4,Relative Entropy,Discriminative
12,Accuracy,0.9779,4,Relative Entropy,Discriminative
13,Accuracy,0.9778,4,Relative Entropy,Discriminative
14,Accuracy,0.9772,4,Relative Entropy,Discriminative
15,Accuracy,0.9772,4,Relative Entropy,Discriminative
16,Accuracy,0.9774,4,Relative Entropy,Discriminative
17,Accuracy,0.9765,4,Relative Entropy,Discriminative
18,Accuracy,0.9775,4,Relative Entropy,Discriminative
19,Accuracy,0.9774,4,Relative Entropy,Discriminative
20,Accuracy,0.9773,4,Relative Entropy,Discriminative
21,Accuracy,0.9774,4,Relative Entropy,Discriminative
22,Accuracy,0.9767,4,Relative Entropy,Discriminative
23,Accuracy,0.9765,4,Relative Entropy,Discriminative
24,Accuracy,0.9767,4,Relative Entropy,Discriminative
25,Accuracy,0.9765,4,Relative Entropy,Discriminative
26,Accuracy,0.9761,4,Relative Entropy,Discriminative
27,Accuracy,0.9761,4,Relative Entropy,Discriminative
28,Accuracy,0.976,4,Relative Entropy,Discriminative
29,Accuracy,0.977,4,Relative Entropy,Discriminative
30,Accuracy,0.9774,4,Relative Entropy,Discriminative
0,Accuracy,0.8824,5,Relative Entropy,Discriminative
1,Accuracy,0.9741,5,Relative Entropy,Discriminative
2,Accuracy,0.8798,5,Relative Entropy,Discriminative
3,Accuracy,0.9019,5,Relative Entropy,Discriminative
4,Accuracy,0.9265,5,Relative Entropy,Discriminative
5,Accuracy,0.9604,5,Relative Entropy,Discriminative
6,Accuracy,0.9642,5,Relative Entropy,Discriminative
7,Accuracy,0.9671,5,Relative Entropy,Discriminative
8,Accuracy,0.9696,5,Relative Entropy,Discriminative
9,Accuracy,0.9767,5,Relative Entropy,Discriminative
10,Accuracy,0.9746,5,Relative Entropy,Discriminative
11,Accuracy,0.9778,5,Relative Entropy,Discriminative
12,Accuracy,0.9756,5,Relative Entropy,Discriminative
13,Accuracy,0.9772,5,Relative Entropy,Discriminative
14,Accuracy,0.9771,5,Relative Entropy,Discriminative
15,Accuracy,0.9778,5,Relative Entropy,Discriminative
16,Accuracy,0.9771,5,Relative Entropy,Discriminative
17,Accuracy,0.9771,5,Relative Entropy,Discriminative
18,Accuracy,0.9771,5,Relative Entropy,Discriminative
19,Accuracy,0.9771,5,Relative Entropy,Discriminative
20,Accuracy,0.9771,5,Relative Entropy,Discriminative
21,Accuracy,0.9771,5,Relative Entropy,Discriminative
22,Accuracy,0.9771,5,Relative Entropy,Discriminative
23,Accuracy,0.9771,5,Relative Entropy,Discriminative
24,Accuracy,0.9771,5,Relative Entropy,Discriminative
25,Accuracy,0.9773,5,Relative Entropy,Discriminative
26,Accuracy,0.9769,5,Relative Entropy,Discriminative
27,Accuracy,0.9772,5,Relative Entropy,Discriminative
28,Accuracy,0.9772,5,Relative Entropy,Discriminative
29,Accuracy,0.9772,5,Relative Entropy,Discriminative
30,Accuracy,0.9773,5,Relative Entropy,Discriminative
0,Accuracy,0.8919,6,Relative Entropy,Discriminative
1,Accuracy,0.9758,6,Relative Entropy,Discriminative
2,Accuracy,0.9761,6,Relative Entropy,Discriminative
3,Accuracy,0.9653,6,Relative Entropy,Discriminative
4,Accuracy,0.9662,6,Relative Entropy,Discriminative
5,Accuracy,0.9673,6,Relative Entropy,Discriminative
6,Accuracy,0.9627,6,Relative Entropy,Discriminative
7,Accuracy,0.9614,6,Relative Entropy,Discriminative
8,Accuracy,0.9644,6,Relative Entropy,Discriminative
9,Accuracy,0.9631,6,Relative Entropy,Discriminative
10,Accuracy,0.9713,6,Relative Entropy,Discriminative
11,Accuracy,0.9743,6,Relative Entropy,Discriminative
12,Accuracy,0.9736,6,Relative Entropy,Discriminative
13,Accuracy,0.9752,6,Relative Entropy,Discriminative
14,Accuracy,0.9769,6,Relative Entropy,Discriminative
15,Accuracy,0.9771,6,Relative Entropy,Discriminative
16,Accuracy,0.9777,6,Relative Entropy,Discriminative
17,Accuracy,0.9777,6,Relative Entropy,Discriminative
18,Accuracy,0.978,6,Relative Entropy,Discriminative
19,Accuracy,0.9775,6,Relative Entropy,Discriminative
20,Accuracy,0.9776,6,Relative Entropy,Discriminative
21,Accuracy,0.977,6,Relative Entropy,Discriminative
22,Accuracy,0.9776,6,Relative Entropy,Discriminative
23,Accuracy,0.9776,6,Relative Entropy,Discriminative
24,Accuracy,0.9772,6,Relative Entropy,Discriminative
25,Accuracy,0.9777,6,Relative Entropy,Discriminative
26,Accuracy,0.9776,6,Relative Entropy,Discriminative
27,Accuracy,0.9777,6,Relative Entropy,Discriminative
28,Accuracy,0.9778,6,Relative Entropy,Discriminative
29,Accuracy,0.9775,6,Relative Entropy,Discriminative
30,Accuracy,0.9773,6,Relative Entropy,Discriminative
0,Accuracy,0.9213,7,Relative Entropy,Discriminative
1,Accuracy,0.9771,7,Relative Entropy,Discriminative
2,Accuracy,0.9756,7,Relative Entropy,Discriminative
3,Accuracy,0.9726,7,Relative Entropy,Discriminative
4,Accuracy,0.9772,7,Relative Entropy,Discriminative
5,Accuracy,0.9774,7,Relative Entropy,Discriminative
6,Accuracy,0.9767,7,Relative Entropy,Discriminative
7,Accuracy,0.9741,7,Relative Entropy,Discriminative
8,Accuracy,0.9741,7,Relative Entropy,Discriminative
9,Accuracy,0.9745,7,Relative Entropy,Discriminative
10,Accuracy,0.9745,7,Relative Entropy,Discriminative
11,Accuracy,0.9746,7,Relative Entropy,Discriminative
12,Accuracy,0.9752,7,Relative Entropy,Discriminative
13,Accuracy,0.975,7,Relative Entropy,Discriminative
14,Accuracy,0.9747,7,Relative Entropy,Discriminative
15,Accuracy,0.9751,7,Relative Entropy,Discriminative
16,Accuracy,0.9751,7,Relative Entropy,Discriminative
17,Accuracy,0.9751,7,Relative Entropy,Discriminative
18,Accuracy,0.9753,7,Relative Entropy,Discriminative
19,Accuracy,0.9755,7,Relative Entropy,Discriminative
20,Accuracy,0.9759,7,Relative Entropy,Discriminative
21,Accuracy,0.9759,7,Relative Entropy,Discriminative
22,Accuracy,0.9761,7,Relative Entropy,Discriminative
23,Accuracy,0.976,7,Relative Entropy,Discriminative
24,Accuracy,0.9764,7,Relative Entropy,Discriminative
25,Accuracy,0.9764,7,Relative Entropy,Discriminative
26,Accuracy,0.9762,7,Relative Entropy,Discriminative
27,Accuracy,0.9768,7,Relative Entropy,Discriminative
28,Accuracy,0.9766,7,Relative Entropy,Discriminative
29,Accuracy,0.9766,7,Relative Entropy,Discriminative
30,Accuracy,0.9758,7,Relative Entropy,Discriminative
0,Accuracy,0.9015,8,Relative Entropy,Discriminative
1,Accuracy,0.9772,8,Relative Entropy,Discriminative
2,Accuracy,0.9767,8,Relative Entropy,Discriminative
3,Accuracy,0.9657,8,Relative Entropy,Discriminative
4,Accuracy,0.9659,8,Relative Entropy,Discriminative
5,Accuracy,0.9675,8,Relative Entropy,Discriminative
6,Accuracy,0.9683,8,Relative Entropy,Discriminative
7,Accuracy,0.9649,8,Relative Entropy,Discriminative
8,Accuracy,0.9654,8,Relative Entropy,Discriminative
9,Accuracy,0.9657,8,Relative Entropy,Discriminative
10,Accuracy,0.9657,8,Relative Entropy,Discriminative
11,Accuracy,0.9663,8,Relative Entropy,Discriminative
12,Accuracy,0.967,8,Relative Entropy,Discriminative
13,Accuracy,0.9677,8,Relative Entropy,Discriminative
14,Accuracy,0.968,8,Relative Entropy,Discriminative
15,Accuracy,0.9686,8,Relative Entropy,Discriminative
16,Accuracy,0.9657,8,Relative Entropy,Discriminative
17,Accuracy,0.9658,8,Relative Entropy,Discriminative
18,Accuracy,0.9664,8,Relative Entropy,Discriminative
19,Accuracy,0.9667,8,Relative Entropy,Discriminative
20,Accuracy,0.9674,8,Relative Entropy,Discriminative
21,Accuracy,0.9679,8,Relative Entropy,Discriminative
22,Accuracy,0.9684,8,Relative Entropy,Discriminative
23,Accuracy,0.9682,8,Relative Entropy,Discriminative
24,Accuracy,0.9686,8,Relative Entropy,Discriminative
25,Accuracy,0.966,8,Relative Entropy,Discriminative
26,Accuracy,0.9667,8,Relative Entropy,Discriminative
27,Accuracy,0.967,8,Relative Entropy,Discriminative
28,Accuracy,0.9671,8,Relative Entropy,Discriminative
29,Accuracy,0.9679,8,Relative Entropy,Discriminative
30,Accuracy,0.968,8,Relative Entropy,Discriminative
0,Accuracy,0.9114,9,Relative Entropy,Discriminative
1,Accuracy,0.9779,9,Relative Entropy,Discriminative
2,Accuracy,0.9767,9,Relative Entropy,Discriminative
3,Accuracy,0.9657,9,Relative Entropy,Discriminative
4,Accuracy,0.9664,9,Relative Entropy,Discriminative
5,Accuracy,0.9672,9,Relative Entropy,Discriminative
6,Accuracy,0.9683,9,Relative Entropy,Discriminative
7,Accuracy,0.9771,9,Relative Entropy,Discriminative
8,Accuracy,0.9773,9,Relative Entropy,Discriminative
9,Accuracy,0.9763,9,Relative Entropy,Discriminative
10,Accuracy,0.9761,9,Relative Entropy,Discriminative
11,Accuracy,0.9756,9,Relative Entropy,Discriminative
12,Accuracy,0.9748,9,Relative Entropy,Discriminative
13,Accuracy,0.9749,9,Relative Entropy,Discriminative
14,Accuracy,0.9734,9,Relative Entropy,Discriminative
15,Accuracy,0.9727,9,Relative Entropy,Discriminative
16,Accuracy,0.9727,9,Relative Entropy,Discriminative
17,Accuracy,0.9723,9,Relative Entropy,Discriminative
18,Accuracy,0.9723,9,Relative Entropy,Discriminative
19,Accuracy,0.9755,9,Relative Entropy,Discriminative
20,Accuracy,0.9743,9,Relative Entropy,Discriminative
21,Accuracy,0.9748,9,Relative Entropy,Discriminative
22,Accuracy,0.9738,9,Relative Entropy,Discriminative
23,Accuracy,0.9731,9,Relative Entropy,Discriminative
24,Accuracy,0.9754,9,Relative Entropy,Discriminative
25,Accuracy,0.9756,9,Relative Entropy,Discriminative
26,Accuracy,0.9756,9,Relative Entropy,Discriminative
27,Accuracy,0.9755,9,Relative Entropy,Discriminative
28,Accuracy,0.9755,9,Relative Entropy,Discriminative
29,Accuracy,0.9755,9,Relative Entropy,Discriminative
30,Accuracy,0.9767,9,Relative Entropy,Discriminative
0,Accuracy,0.8784,0,Margin,Discriminative
1,Accuracy,0.9658,0,Margin,Discriminative
2,Accuracy,0.9759,0,Margin,Discriminative
3,Accuracy,0.9653,0,Margin,Discriminative
4,Accuracy,0.9687,0,Margin,Discriminative
5,Accuracy,0.9607,0,Margin,Discriminative
6,Accuracy,0.9532,0,Margin,Discriminative
7,Accuracy,0.9585,0,Margin,Discriminative
8,Accuracy,0.9612,0,Margin,Discriminative
9,Accuracy,0.9643,0,Margin,Discriminative
10,Accuracy,0.9659,0,Margin,Discriminative
11,Accuracy,0.9683,0,Margin,Discriminative
12,Accuracy,0.9642,0,Margin,Discriminative
13,Accuracy,0.9657,0,Margin,Discriminative
14,Accuracy,0.9671,0,Margin,Discriminative
15,Accuracy,0.9689,0,Margin,Discriminative
16,Accuracy,0.9698,0,Margin,Discriminative
17,Accuracy,0.9711,0,Margin,Discriminative
18,Accuracy,0.9765,0,Margin,Discriminative
19,Accuracy,0.9773,0,Margin,Discriminative
20,Accuracy,0.9775,0,Margin,Discriminative
21,Accuracy,0.9773,0,Margin,Discriminative
22,Accuracy,0.9775,0,Margin,Discriminative
23,Accuracy,0.977,0,Margin,Discriminative
24,Accuracy,0.9765,0,Margin,Discriminative
25,Accuracy,0.977,0,Margin,Discriminative
26,Accuracy,0.9766,0,Margin,Discriminative
27,Accuracy,0.9768,0,Margin,Discriminative
28,Accuracy,0.9768,0,Margin,Discriminative
29,Accuracy,0.9769,0,Margin,Discriminative
30,Accuracy,0.9764,0,Margin,Discriminative
0,Accuracy,0.8956,1,Margin,Discriminative
1,Accuracy,0.9739,1,Margin,Discriminative
2,Accuracy,0.9607,1,Margin,Discriminative
3,Accuracy,0.9502,1,Margin,Discriminative
4,Accuracy,0.9567,1,Margin,Discriminative
5,Accuracy,0.9613,1,Margin,Discriminative
6,Accuracy,0.9647,1,Margin,Discriminative
7,Accuracy,0.9672,1,Margin,Discriminative
8,Accuracy,0.9693,1,Margin,Discriminative
9,Accuracy,0.9711,1,Margin,Discriminative
10,Accuracy,0.9771,1,Margin,Discriminative
11,Accuracy,0.9777,1,Margin,Discriminative
12,Accuracy,0.9772,1,Margin,Discriminative
13,Accuracy,0.9761,1,Margin,Discriminative
14,Accuracy,0.9753,1,Margin,Discriminative
15,Accuracy,0.9773,1,Margin,Discriminative
16,Accuracy,0.9767,1,Margin,Discriminative
17,Accuracy,0.9766,1,Margin,Discriminative
18,Accuracy,0.9773,1,Margin,Discriminative
19,Accuracy,0.9771,1,Margin,Discriminative
20,Accuracy,0.9765,1,Margin,Discriminative
21,Accuracy,0.9767,1,Margin,Discriminative
22,Accuracy,0.9773,1,Margin,Discriminative
23,Accuracy,0.9775,1,Margin,Discriminative
24,Accuracy,0.9775,1,Margin,Discriminative
25,Accuracy,0.9775,1,Margin,Discriminative
26,Accuracy,0.9775,1,Margin,Discriminative
27,Accuracy,0.9771,1,Margin,Discriminative
28,Accuracy,0.9773,1,Margin,Discriminative
29,Accuracy,0.9775,1,Margin,Discriminative
30,Accuracy,0.977,1,Margin,Discriminative
0,Accuracy,0.8749,2,Margin,Discriminative
1,Accuracy,0.8438,2,Margin,Discriminative
2,Accuracy,0.8425,2,Margin,Discriminative
3,Accuracy,0.8851,2,Margin,Discriminative
4,Accuracy,0.9505,2,Margin,Discriminative
5,Accuracy,0.9756,2,Margin,Discriminative
6,Accuracy,0.9654,2,Margin,Discriminative
7,Accuracy,0.9683,2,Margin,Discriminative
8,Accuracy,0.9696,2,Margin,Discriminative
9,Accuracy,0.9723,2,Margin,Discriminative
10,Accuracy,0.9683,2,Margin,Discriminative
11,Accuracy,0.9699,2,Margin,Discriminative
12,Accuracy,0.9701,2,Margin,Discriminative
13,Accuracy,0.9712,2,Margin,Discriminative
14,Accuracy,0.9717,2,Margin,Discriminative
15,Accuracy,0.9696,2,Margin,Discriminative
16,Accuracy,0.9698,2,Margin,Discriminative
17,Accuracy,0.968,2,Margin,Discriminative
18,Accuracy,0.9686,2,Margin,Discriminative
19,Accuracy,0.9696,2,Margin,Discriminative
20,Accuracy,0.9698,2,Margin,Discriminative
21,Accuracy,0.9703,2,Margin,Discriminative
22,Accuracy,0.971,2,Margin,Discriminative
23,Accuracy,0.9719,2,Margin,Discriminative
24,Accuracy,0.9719,2,Margin,Discriminative
25,Accuracy,0.9705,2,Margin,Discriminative
26,Accuracy,0.9711,2,Margin,Discriminative
27,Accuracy,0.9716,2,Margin,Discriminative
28,Accuracy,0.9719,2,Margin,Discriminative
29,Accuracy,0.9721,2,Margin,Discriminative
30,Accuracy,0.9725,2,Margin,Discriminative
0,Accuracy,0.8883,3,Margin,Discriminative
1,Accuracy,0.9738,3,Margin,Discriminative
2,Accuracy,0.9607,3,Margin,Discriminative
3,Accuracy,0.9657,3,Margin,Discriminative
4,Accuracy,0.9687,3,Margin,Discriminative
5,Accuracy,0.961,3,Margin,Discriminative
6,Accuracy,0.9646,3,Margin,Discriminative
7,Accuracy,0.967,3,Margin,Discriminative
8,Accuracy,0.9697,3,Margin,Discriminative
9,Accuracy,0.971,3,Margin,Discriminative
10,Accuracy,0.9677,3,Margin,Discriminative
11,Accuracy,0.9688,3,Margin,Discriminative
12,Accuracy,0.9698,3,Margin,Discriminative
13,Accuracy,0.9708,3,Margin,Discriminative
14,Accuracy,0.9716,3,Margin,Discriminative
15,Accuracy,0.9692,3,Margin,Discriminative
16,Accuracy,0.9698,3,Margin,Discriminative
17,Accuracy,0.9706,3,Margin,Discriminative
18,Accuracy,0.9707,3,Margin,Discriminative
19,Accuracy,0.9718,3,Margin,Discriminative
20,Accuracy,0.9758,3,Margin,Discriminative
21,Accuracy,0.9741,3,Margin,Discriminative
22,Accuracy,0.9764,3,Margin,Discriminative
23,Accuracy,0.9748,3,Margin,Discriminative
24,Accuracy,0.9766,3,Margin,Discriminative
25,Accuracy,0.9751,3,Margin,Discriminative
26,Accuracy,0.9768,3,Margin,Discriminative
27,Accuracy,0.9755,3,Margin,Discriminative
28,Accuracy,0.9745,3,Margin,Discriminative
29,Accuracy,0.9744,3,Margin,Discriminative
30,Accuracy,0.9748,3,Margin,Discriminative
0,Accuracy,0.9331,4,Margin,Discriminative
1,Accuracy,0.8532,4,Margin,Discriminative
2,Accuracy,0.8701,4,Margin,Discriminative
3,Accuracy,0.8982,4,Margin,Discriminative
4,Accuracy,0.9544,4,Margin,Discriminative
5,Accuracy,0.9692,4,Margin,Discriminative
6,Accuracy,0.9741,4,Margin,Discriminative
7,Accuracy,0.9756,4,Margin,Discriminative
