Active Learning Iteration,Metric,Accuracy,Run,Strategy,Model
0,Accuracy,0.9015,2,Margin,Generative
1,Accuracy,0.8189,2,Margin,Generative
2,Accuracy,0.8189,2,Margin,Generative
3,Accuracy,0.9015,2,Margin,Generative
4,Accuracy,0.9637,2,Margin,Generative
5,Accuracy,0.9637,2,Margin,Generative
6,Accuracy,0.9637,2,Margin,Generative
7,Accuracy,0.9637,2,Margin,Generative
8,Accuracy,0.9637,2,Margin,Generative
9,Accuracy,0.9637,2,Margin,Generative
10,Accuracy,0.9637,2,Margin,Generative
11,Accuracy,0.9637,2,Margin,Generative
12,Accuracy,0.9637,2,Margin,Generative
13,Accuracy,0.9637,2,Margin,Generative
14,Accuracy,0.9637,2,Margin,Generative
15,Accuracy,0.9637,2,Margin,Generative
16,Accuracy,0.9637,2,Margin,Generative
17,Accuracy,0.9637,2,Margin,Generative
18,Accuracy,0.9637,2,Margin,Generative
19,Accuracy,0.9637,2,Margin,Generative
20,Accuracy,0.9637,2,Margin,Generative
21,Accuracy,0.9637,2,Margin,Generative
22,Accuracy,0.9637,2,Margin,Generative
23,Accuracy,0.9637,2,Margin,Generative
24,Accuracy,0.9637,2,Margin,Generative
25,Accuracy,0.9637,2,Margin,Generative
26,Accuracy,0.9637,2,Margin,Generative
27,Accuracy,0.9637,2,Margin,Generative
28,Accuracy,0.9637,2,Margin,Generative
29,Accuracy,0.9637,2,Margin,Generative
30,Accuracy,0.9637,2,Margin,Generative
0,Accuracy,0.9015,3,Margin,Generative
1,Accuracy,0.9637,3,Margin,Generative
2,Accuracy,0.9637,3,Margin,Generative
3,Accuracy,0.9637,3,Margin,Generative
4,Accuracy,0.9637,3,Margin,Generative
5,Accuracy,0.9637,3,Margin,Generative
6,Accuracy,0.9637,3,Margin,Generative
7,Accuracy,0.9637,3,Margin,Generative
8,Accuracy,0.9637,3,Margin,Generative
9,Accuracy,0.9637,3,Margin,Generative
10,Accuracy,0.9637,3,Margin,Generative
11,Accuracy,0.9637,3,Margin,Generative
12,Accuracy,0.9637,3,Margin,Generative
13,Accuracy,0.9637,3,Margin,Generative
14,Accuracy,0.9637,3,Margin,Generative
15,Accuracy,0.9637,3,Margin,Generative
16,Accuracy,0.9637,3,Margin,Generative
17,Accuracy,0.9637,3,Margin,Generative
18,Accuracy,0.9637,3,Margin,Generative
19,Accuracy,0.9637,3,Margin,Generative
20,Accuracy,0.9637,3,Margin,Generative
21,Accuracy,0.9637,3,Margin,Generative
22,Accuracy,0.9637,3,Margin,Generative
23,Accuracy,0.9637,3,Margin,Generative
24,Accuracy,0.9637,3,Margin,Generative
25,Accuracy,0.9637,3,Margin,Generative
26,Accuracy,0.9637,3,Margin,Generative
27,Accuracy,0.9637,3,Margin,Generative
28,Accuracy,0.9637,3,Margin,Generative
29,Accuracy,0.9637,3,Margin,Generative
30,Accuracy,0.9637,3,Margin,Generative
0,Accuracy,0.9015,4,Margin,Generative
1,Accuracy,0.8189,4,Margin,Generative
2,Accuracy,0.9015,4,Margin,Generative
3,Accuracy,0.9015,4,Margin,Generative
4,Accuracy,0.9637,4,Margin,Generative
5,Accuracy,0.9637,4,Margin,Generative
6,Accuracy,0.9637,4,Margin,Generative
7,Accuracy,0.9648,4,Margin,Generative
8,Accuracy,0.9648,4,Margin,Generative
9,Accuracy,0.9648,4,Margin,Generative
10,Accuracy,0.9648,4,Margin,Generative
11,Accuracy,0.9648,4,Margin,Generative
12,Accuracy,0.9648,4,Margin,Generative
13,Accuracy,0.9648,4,Margin,Generative
14,Accuracy,0.9648,4,Margin,Generative
15,Accuracy,0.9648,4,Margin,Generative
16,Accuracy,0.9648,4,Margin,Generative
17,Accuracy,0.9648,4,Margin,Generative
18,Accuracy,0.9648,4,Margin,Generative
19,Accuracy,0.9648,4,Margin,Generative
20,Accuracy,0.9648,4,Margin,Generative
21,Accuracy,0.9648,4,Margin,Generative
22,Accuracy,0.9648,4,Margin,Generative
23,Accuracy,0.9648,4,Margin,Generative
24,Accuracy,0.9648,4,Margin,Generative
25,Accuracy,0.9648,4,Margin,Generative
26,Accuracy,0.9648,4,Margin,Generative
27,Accuracy,0.9648,4,Margin,Generative
28,Accuracy,0.9648,4,Margin,Generative
29,Accuracy,0.9648,4,Margin,Generative
30,Accuracy,0.9648,4,Margin,Generative
0,Accuracy,0.9015,5,Margin,Generative
1,Accuracy,0.9648,5,Margin,Generative
2,Accuracy,0.9637,5,Margin,Generative
3,Accuracy,0.9637,5,Margin,Generative
4,Accuracy,0.9637,5,Margin,Generative
5,Accuracy,0.9637,5,Margin,Generative
6,Accuracy,0.9637,5,Margin,Generative
7,Accuracy,0.9637,5,Margin,Generative
8,Accuracy,0.9637,5,Margin,Generative
9,Accuracy,0.9637,5,Margin,Generative
10,Accuracy,0.9637,5,Margin,Generative
11,Accuracy,0.9637,5,Margin,Generative
12,Accuracy,0.9637,5,Margin,Generative
13,Accuracy,0.9637,5,Margin,Generative
14,Accuracy,0.9637,5,Margin,Generative
15,Accuracy,0.9637,5,Margin,Generative
16,Accuracy,0.9637,5,Margin,Generative
17,Accuracy,0.9637,5,Margin,Generative
18,Accuracy,0.9637,5,Margin,Generative
19,Accuracy,0.9637,5,Margin,Generative
20,Accuracy,0.9637,5,Margin,Generative
21,Accuracy,0.9648,5,Margin,Generative
22,Accuracy,0.9648,5,Margin,Generative
23,Accuracy,0.9648,5,Margin,Generative
24,Accuracy,0.9648,5,Margin,Generative
25,Accuracy,0.9648,5,Margin,Generative
26,Accuracy,0.9648,5,Margin,Generative
27,Accuracy,0.9648,5,Margin,Generative
28,Accuracy,0.9648,5,Margin,Generative
29,Accuracy,0.9648,5,Margin,Generative
30,Accuracy,0.9648,5,Margin,Generative
0,Accuracy,0.9015,6,Margin,Generative
1,Accuracy,0.9648,6,Margin,Generative
2,Accuracy,0.9637,6,Margin,Generative
3,Accuracy,0.9637,6,Margin,Generative
4,Accuracy,0.9637,6,Margin,Generative
5,Accuracy,0.9637,6,Margin,Generative
6,Accuracy,0.9637,6,Margin,Generative
7,Accuracy,0.9637,6,Margin,Generative
8,Accuracy,0.9637,6,Margin,Generative
9,Accuracy,0.9637,6,Margin,Generative
10,Accuracy,0.9637,6,Margin,Generative
11,Accuracy,0.9637,6,Margin,Generative
12,Accuracy,0.9637,6,Margin,Generative
13,Accuracy,0.9637,6,Margin,Generative
14,Accuracy,0.9637,6,Margin,Generative
15,Accuracy,0.9637,6,Margin,Generative
16,Accuracy,0.9637,6,Margin,Generative
17,Accuracy,0.9637,6,Margin,Generative
18,Accuracy,0.9637,6,Margin,Generative
19,Accuracy,0.9637,6,Margin,Generative
20,Accuracy,0.9637,6,Margin,Generative
21,Accuracy,0.9648,6,Margin,Generative
22,Accuracy,0.9637,6,Margin,Generative
23,Accuracy,0.9637,6,Margin,Generative
24,Accuracy,0.9637,6,Margin,Generative
25,Accuracy,0.9637,6,Margin,Generative
26,Accuracy,0.9637,6,Margin,Generative
27,Accuracy,0.9648,6,Margin,Generative
28,Accuracy,0.9648,6,Margin,Generative
29,Accuracy,0.9648,6,Margin,Generative
30,Accuracy,0.9648,6,Margin,Generative
0,Accuracy,0.9015,7,Margin,Generative
1,Accuracy,0.9648,7,Margin,Generative
2,Accuracy,0.9637,7,Margin,Generative
3,Accuracy,0.9637,7,Margin,Generative
4,Accuracy,0.9637,7,Margin,Generative
5,Accuracy,0.9637,7,Margin,Generative
6,Accuracy,0.9637,7,Margin,Generative
7,Accuracy,0.9637,7,Margin,Generative
8,Accuracy,0.9637,7,Margin,Generative
9,Accuracy,0.9637,7,Margin,Generative
10,Accuracy,0.9637,7,Margin,Generative
11,Accuracy,0.9637,7,Margin,Generative
12,Accuracy,0.9637,7,Margin,Generative
13,Accuracy,0.9637,7,Margin,Generative
14,Accuracy,0.9637,7,Margin,Generative
15,Accuracy,0.9637,7,Margin,Generative
16,Accuracy,0.9637,7,Margin,Generative
17,Accuracy,0.9637,7,Margin,Generative
18,Accuracy,0.9637,7,Margin,Generative
