Active Learning Iteration,Metric,Accuracy,Run,Strategy,Model,Dash
27,Accuracy,0.9761,2,Relative Entropy,Discriminative,y
28,Accuracy,0.975,2,Relative Entropy,Discriminative,y
29,Accuracy,0.9762,2,Relative Entropy,Discriminative,y
30,Accuracy,0.9753,2,Relative Entropy,Discriminative,y
0,Accuracy,0.8723,3,Relative Entropy,Discriminative,y
1,Accuracy,0.9704,3,Relative Entropy,Discriminative,y
2,Accuracy,0.9766,3,Relative Entropy,Discriminative,y
3,Accuracy,0.9724,3,Relative Entropy,Discriminative,y
4,Accuracy,0.9771,3,Relative Entropy,Discriminative,y
5,Accuracy,0.9741,3,Relative Entropy,Discriminative,y
6,Accuracy,0.9767,3,Relative Entropy,Discriminative,y
7,Accuracy,0.9775,3,Relative Entropy,Discriminative,y
8,Accuracy,0.9769,3,Relative Entropy,Discriminative,y
9,Accuracy,0.9751,3,Relative Entropy,Discriminative,y
10,Accuracy,0.9769,3,Relative Entropy,Discriminative,y
11,Accuracy,0.9769,3,Relative Entropy,Discriminative,y
12,Accuracy,0.9756,3,Relative Entropy,Discriminative,y
13,Accuracy,0.9752,3,Relative Entropy,Discriminative,y
14,Accuracy,0.9769,3,Relative Entropy,Discriminative,y
15,Accuracy,0.9768,3,Relative Entropy,Discriminative,y
16,Accuracy,0.9771,3,Relative Entropy,Discriminative,y
17,Accuracy,0.977,3,Relative Entropy,Discriminative,y
18,Accuracy,0.9772,3,Relative Entropy,Discriminative,y
19,Accuracy,0.9773,3,Relative Entropy,Discriminative,y
20,Accuracy,0.9775,3,Relative Entropy,Discriminative,y
21,Accuracy,0.9779,3,Relative Entropy,Discriminative,y
22,Accuracy,0.9779,3,Relative Entropy,Discriminative,y
23,Accuracy,0.9774,3,Relative Entropy,Discriminative,y
24,Accuracy,0.9777,3,Relative Entropy,Discriminative,y
25,Accuracy,0.9773,3,Relative Entropy,Discriminative,y
26,Accuracy,0.9778,3,Relative Entropy,Discriminative,y
27,Accuracy,0.9771,3,Relative Entropy,Discriminative,y
28,Accuracy,0.977,3,Relative Entropy,Discriminative,y
29,Accuracy,0.9777,3,Relative Entropy,Discriminative,y
30,Accuracy,0.9772,3,Relative Entropy,Discriminative,y
0,Accuracy,0.88,4,Relative Entropy,Discriminative,y
1,Accuracy,0.9465,4,Relative Entropy,Discriminative,y
2,Accuracy,0.9755,4,Relative Entropy,Discriminative,y
