Run,Number of labeled points,Model,Metric,Value,Set,Approach,Dash
3,12,Discriminative,Accuracy,0.975,test,Active WeaSuL,
3,13,Generative,Accuracy,0.961,test,Active WeaSuL,
3,13,Discriminative,Accuracy,0.9753333333333334,test,Active WeaSuL,
3,14,Generative,Accuracy,0.961,test,Active WeaSuL,
3,14,Discriminative,Accuracy,0.9753333333333334,test,Active WeaSuL,
3,15,Generative,Accuracy,0.961,test,Active WeaSuL,
3,15,Discriminative,Accuracy,0.975,test,Active WeaSuL,
3,16,Generative,Accuracy,0.961,test,Active WeaSuL,
3,16,Discriminative,Accuracy,0.975,test,Active WeaSuL,
3,17,Generative,Accuracy,0.961,test,Active WeaSuL,
3,17,Discriminative,Accuracy,0.9746666666666667,test,Active WeaSuL,
3,18,Generative,Accuracy,0.961,test,Active WeaSuL,
3,18,Discriminative,Accuracy,0.9746666666666667,test,Active WeaSuL,
3,19,Generative,Accuracy,0.961,test,Active WeaSuL,
3,19,Discriminative,Accuracy,0.9746666666666667,test,Active WeaSuL,
3,20,Generative,Accuracy,0.961,test,Active WeaSuL,
3,20,Discriminative,Accuracy,0.9746666666666667,test,Active WeaSuL,
3,21,Generative,Accuracy,0.961,test,Active WeaSuL,
3,21,Discriminative,Accuracy,0.9756666666666667,test,Active WeaSuL,
3,22,Generative,Accuracy,0.961,test,Active WeaSuL,
3,22,Discriminative,Accuracy,0.9753333333333334,test,Active WeaSuL,
3,23,Generative,Accuracy,0.961,test,Active WeaSuL,
3,23,Discriminative,Accuracy,0.9753333333333334,test,Active WeaSuL,
3,24,Generative,Accuracy,0.961,test,Active WeaSuL,
3,24,Discriminative,Accuracy,0.974,test,Active WeaSuL,
3,25,Generative,Accuracy,0.961,test,Active WeaSuL,
3,25,Discriminative,Accuracy,0.975,test,Active WeaSuL,
3,26,Generative,Accuracy,0.961,test,Active WeaSuL,
3,26,Discriminative,Accuracy,0.9766666666666667,test,Active WeaSuL,
3,27,Generative,Accuracy,0.961,test,Active WeaSuL,
3,27,Discriminative,Accuracy,0.9753333333333334,test,Active WeaSuL,
3,28,Generative,Accuracy,0.961,test,Active WeaSuL,
3,28,Discriminative,Accuracy,0.9753333333333334,test,Active WeaSuL,
3,29,Generative,Accuracy,0.961,test,Active WeaSuL,
3,29,Discriminative,Accuracy,0.9763333333333334,test,Active WeaSuL,
3,30,Generative,Accuracy,0.961,test,Active WeaSuL,
3,30,Discriminative,Accuracy,0.976,test,Active WeaSuL,
4,0,Generative,Accuracy,0.8133333333333334,test,Active WeaSuL,
4,0,Discriminative,Accuracy,0.8686666666666667,test,Active WeaSuL,
4,1,Generative,Accuracy,0.8133333333333334,test,Active WeaSuL,
4,1,Discriminative,Accuracy,0.8573333333333333,test,Active WeaSuL,
4,2,Generative,Accuracy,0.8133333333333334,test,Active WeaSuL,
4,2,Discriminative,Accuracy,0.8596666666666667,test,Active WeaSuL,
4,3,Generative,Accuracy,0.8133333333333334,test,Active WeaSuL,
4,3,Discriminative,Accuracy,0.8646666666666667,test,Active WeaSuL,
4,4,Generative,Accuracy,0.9556666666666667,test,Active WeaSuL,
4,4,Discriminative,Accuracy,0.962,test,Active WeaSuL,
4,5,Generative,Accuracy,0.961,test,Active WeaSuL,
4,5,Discriminative,Accuracy,0.971,test,Active WeaSuL,
4,6,Generative,Accuracy,0.9556666666666667,test,Active WeaSuL,
4,6,Discriminative,Accuracy,0.964,test,Active WeaSuL,
4,7,Generative,Accuracy,0.9556666666666667,test,Active WeaSuL,
4,7,Discriminative,Accuracy,0.952,test,Active WeaSuL,
